Sequences,Teams,Label
sstsmxtutus,Uruguay,Top
tutuxtus,Uruguay,Top
mxtuxtuxtutuxtuxty,Uruguay,Top
spssspssg,Uruguay,Top
tuxtuxtuxtuxtutuxtutut,Uruguay,Top
smxtssss,Uruguay,Top
htuxtutuxtuxtuxtuxtuxtuxi,Uruguay,Top
ssssttssd,Uruguay,Top
tutuxtuxtuxtuxtuz,Uruguay,Top
ssspyspsd,Uruguay,Top
htuxtu,Uruguay,Top
sssssssdg,Uruguay,Top
htuxtuxtutuxtuxtusCssy,Uruguay,Top
Gxtuxz,Uruguay,Top
tCmxtuxE,Uruguay,Top
CmxtutuxtuxtuxtuytuxE,Uruguay,Top
pssdgmxtussHdmxEpsdgss,Uruguay,Top
gxtuxtuC,Uruguay,Top
gxtuxtuttutu,Uruguay,Top
Gxtutuxtu,Uruguay,Top
sssssHta,Uruguay,Top
tuxtuxtuxtuxtutuxtuxtuxfmxtuxtumxtuxa,Uruguay,Top
zdmxExtumzs,Uruguay,Top
tuxtutumxtuxtuxtuxtuxtuxf,Uruguay,Top
spsspy,Uruguay,Top
mxEsss,Uruguay,Top
htuxtututuxE,Uruguay,Top
tttsumxtuxtuxtuxtuxf,Uruguay,Top
ssssCss,Uruguay,Top
tuxExtu,Uruguay,Top
Cxtuxtuxtu,Uruguay,Top
tuxtutuxtusCmxtuxtumxtuxtutuxtuxt,Uruguay,Top
hExtuxtuxtuxtuxtuxExExtuxtuzm,Uruguay,Top
ssssCgmc,Uruguay,Top
tuxtutu,Uruguay,Top
htuxtutsuspsmxtutuxtu,Uruguay,Top
ttuxtuxt,Uruguay,Top
mxtumxtumxa,Uruguay,Top
gxtuxtuxtututu,Uruguay,Top
tutuxtuxtutumxtuxtuxtuxtutu,Uruguay,Top
tuxistuxi,Uruguay,Top
tHmxismxtut,Uruguay,Top
ttuxtuxf,Uruguay,Top
ssCxtuxEsspsy,Uruguay,Top
sssHsG,Uruguay,Top
tututututu,Uruguay,Top
sHssdg,Uruguay,Top
Cmxttumxtuxa,Uruguay,Top
sCssCxEssdg,Uruguay,Top
gxtuxtuxtuxtumxtuzrv,Uruguay,Top
HtutuG,Uruguay,Top
CmxtutuxtuxtutuxtuGxtu,Uruguay,Top
tutuxi,Uruguay,Top
sssppGgpgw,Uruguay,Top
tuxExtuxtuxtuxtuxt,Uruguay,Top
dgssGskr,Uruguay,Top
Cxtutuxtuxtutu,Uruguay,Top
tumxtuxtumxtumxtutjtuxi,Uruguay,Top
tututu,Uruguay,Top
HCdtssdr,Uruguay,Top
sssGxttutsp,Uruguay,Top
Cxtuxtuxtuxtuxtuxtuxa,Uruguay,Top
tututuxtuxtuxExtuxt,Uruguay,Top
mxtuxtuxf,Uruguay,Top
spsssC,Uruguay,Top
tusspdtg,Uruguay,Top
tutuxtuxtututuxtutumxE,Uruguay,Top
htuxtuxfmxtuxt,Uruguay,Top
mxtuxftuxtuxtuxtu,Uruguay,Top
tutuxi,Uruguay,Top
sHtuxtut,Uruguay,Top
GxtuxEmxtuxi,Uruguay,Top
Cgmtsu,Uruguay,Top
